menyaduri,membaluti,
aba-aba,arahan,instruksi,isyarat,kode,komando,perintah,petunjuk,seruan,suruhan,tanda,titah,duaja,
abad,era,kala,kurun,masa,periode,sepuluh dasawarsa,sepuluh dekade,seratus tahun,zaman,daur,
seabad,seera,sekurun,sezaman,
berabad-abad,beratus-ratus tahun,berkurun-kurun,bertahun-tahun,berzaman-zaman,
abadi,awet,baka,daim,infinit,kekal,langgeng,langsung,lestari,qadim,samad,tetap,wujud,selama-lamanya,pagon,
mengabadikan,melanggengkan,melestarikan,membakakan,memfilmkan,memfoto,memotret,memvideokan,mencatat,mendokumentasikan,meneruskan,menetapkan,mengawetkan,mengekalkan,menjepret,menyimpan,merekam,mengambil gambar,menggambar,kekal,simpan,
pengabadian,pelanggengan,pelestarian,pemotretan,pendokumentasian,penerusan,pengekalan,pengambilan gambar,pengawetan,penjepretan,opname,
keabadian,kebakaan,kebaqaan,keberterusan,kekekalan,kelanggengan,kelanjutan,kelestarian,kesinambungan,
terabadikan,tercatat,terdokumentasikan,terekam,tersimpan,
abah,arah,depan,hadap,haluan,jurus,tuju,ayah,bapak,jurusan,papa,papi,paran,
mengabah,mendatangi,mendekati,menentang,mengarah,mengedepan,menghadap,menjurus,menuju,memarani,
mengabahkan,menentangkan,mengarahkan,menghadapkan,mengiblatkan,menujukan,
abai,alpa,cabar,ceroboh,cuai,gegabah,kelipar,khilaf,lalai,leler,lengah,lupa,sembarangan,sembrono,serampangan,silap,taksir,teledor,asal,khali,lena,terpica,silap mata,
mengabaikan,melalaikan,melambat-lambatkan,melanyak,melecehkan,melengah-lengahkan,melengahkan,melepaskan (peluang),melupakan,memasabodohkan,membelakangi,membenamkan,membengkalaikan,membiarkan,membuang,memetieskan,memicakan,memperkecil,memunggungi,mencampak,mencuaikan,mendiamkan,meneledorkan,mengalpakan,menganaktirikan,mengecewakan,menghalai-balaikan,menghinakan,menginjak-injak,meniadakan,meninggalkan,menyalahi,menyia-nyiakan,meremehkan,merendahkan,bengkalai,mencabuli,capak,caring,mencebikkan,mendaifkan,deponir,mengendapkan,gampang,ingkar,mengingkari,mengecilkan,mengubrakan,berlalai-lalai,melalui,melampaui,melangkahi,melatakan,melipat,memantati,memeti-eskan,pica,menyambil-lalukan,menyepelekan,mempersetan,menelantarkan,tumang,
pengabai,pelengah,pelupa,
pengabaian,pelalaian,pelengahan,pencuaian,pengasingan,
terabaikan,kapiran,keleleran,sebun,terbangai,terbengkalai,terbiar,terbuang,tercampak,terjerahak,terkatung-katung,terlalaikan,terlantar,terlunta-lunta,terlupakan,tersia-sia,tertinggal,tertumpuk,
keabaian,kealpaan,kecuaian,kelalaian,kelengahan,keteledoran,
abakus,dekak-dekak,sempoa,swipoa,
abang,akang,kakak,kakanda,kakang,kanda,kangmas,mas,raka,uda,bang,merah,
abc,abjad,aksara,alfabet,alif-ba-ta,fonem,huruf,leter,dasar,pokok,halihwal,liku-liku,seluk-beluk,lambang bunyi,
abdi,aku,ana,awak,beta,ego,hamba,kami,saya,amah,awang,babu,bayu,bedinde,benduan,bibi,budak,bujang,dayang,jongos,kaula,khadam,kuli,pelayan,pembantu,pramuwisma,sahaya,ulun,pengasuh,bakti,biduanda,pengekor,pengikut,kacung,kawula,patik,pesuruh,
abdi negara,amtenar,aparat,pegawai negeri,pegawai pemerintah,
mengabdi,berbakti,berdedikasi,berkhidmat,berkorban,melayani,membaktikan,memperbudak,memperhambakan,mendaulat,mengaki,menghamba,patuh,
pengabdian,dedikasi,loyalitas,penghambaan,pengorbanan,perhambaan,
aben,membakar,memperabukan,mengkremasi,
pengabenan,kremasi,pembakaran mayat,pengabuan,plebon,pembakaran,
abjad,abc,abece,aksara,alfabet,alif-bata,fonem,hiroglif,huruf,ideograf,kritogram,piktograf,tulisan,lambang bunyi,
mengabjadkan,mengabecekan,mengalfabetkan,
berabjad,beralfabet,
abnormal,ajaib,aneh,asing,cangga,cenanga,eksentrik,ganjil,garib,gila,invalid,istimewa,jarang,kurang,langka,miring,pelik,sedeng,sinting,taknormal,cacat,cenangga,devian,eksotis,gaib,inkonvensional,
abnormalitas,keanehan,kecacatan,keganjilan,ketaknormalan,keajaiban,kelainan,
abolisi,pembatalan,penghapusan,peniadaan,ampunan,
mengabolisi,membatalkan,mementahkan,mencoret,menegasikan,mengakhiri,menganulir,menggugurkan,menghapuskan,meniadakan,
abonemen,berlangganan,melanggani,mengebon,
aborsi,pengguguran,
abortus,guguran,keguguran,kelulusan,keluron,
abrasi,erosi,pengikisan,
abreviasi,akronim,kependekatan,kontraksi,singkatan,kependekan,
absah,asli,autentik,benar,berlaku,betul,halal,legal,sah,sahih,sempurna,lulus,makbul,pasti,isbat,penetapan,penyungguhan,jadi,sudah,sungguh,tentu,tepat,terang,formal,laku,valid,
mengabsahkan,melegalkan,meluluskan,memakbulkan,membenarkan,membuktikan,memperteguhkan,menetapkan,mengabulkan,mengesahkan,mengiakan,mengiktiraf,mengisbatkan,mengizinkan,menguatkan,menyetujui,menyungguhkan,meratifikasikan,meyakinkan,melegalisasi,
pengabsahan,pelegalan,pengesahan,validasi,
keabsahan,kesahan,kebenaran,legalitas,orisinalitas,kesahihan,
absen,bolos,mangkir,tempoh,
absensi,ketidakhadiran,
abses,barah,bengkak,nanah,bisul,infeksi,jerawat,ketimbis,luka,radang,timbil,
absolut,adikara,despotis,diktatorial,otoriter,sewenang-wenang,tiranis,totaliter,habis-habisan,mutlak,sepenuh nya,total,lengkap,nyata,pasti,penuh,positif,setia,suci,taat,tentu,terang,kahar,sepenuhnya,
absorpsi,pelesapan,penyerapan,perembesan,peresapan,
abstrak,absurd,imajiner,khayali,maya,niskala,tanwujud,visioner,hipotetis,ideal,konseptual,teoretis,transendental,ijmal,ikhtisar,inti sari,inti,kerangka,kesimpulan,pati,pokok,rangkuman,resume,ringkasan,rumusan,sari,simpulan,sinopsis,mujarad,
abu,abuk,bubuk,debu,duli,lebu,serbuk,tepung,ayah,bapak,sisa,
abu soda,natrium karbonat,soda kristal,
mengabu,bertabur,bertarai,hancur,lebur,peroi,
mengabui,membohongi,memperdaya(i),mencurangi,mengaburkan,mengelabui,mengelirukan,mengibuli,menipu,menutup,menyelindungkan,menyembunyikan,menyengkilit,menyesatkan,membodohi,membuayai,memukau,
perabuan,krematorium,pancaka,
mengabukan,membakar (mayat),mengaben,bakar,
pengabuan,kremasi,pengabenan,pembakaran,
abu-abu,abu-abu,kelabu,kelam,pirau,samar-samar,suram,
abuh,bengkak,benjol,bincul,gaduh,
abuhan,busung,gembung,kembung,
abuk,abu,bubuk,debu,duli,lebu,reja-reja kayu,serbuk,serdak,siring,tepung,mengakui,menghaki,mengeklaim,pati,
acak,arbitrer,awur,begitu saja,manasuka,rambang,random,sebarang,sembarang,serampangan,sewenang-wenang,
mengacak-acak,memberai-berai,memberantakkan,membongkar-bongkar,memorakporandakan,menceraberaikan,mengacaukan,mengaduk-aduk,awut,memberaikan,berantak,membongkar-bangkir,menceraiberaikan,
acak-acakan,awut-awutan,berantakan,berarakan,berpesai-pesai,bersepah,berserakan,bongkar-bangkir,centang-perenang,cerai-berai,kacau,kacau-balau,kelut-melut,keruntang-pukang,kibangkibut,morat-marit,porak-parik,porakporanda,sembarangan,semrawut,serabutan,serampangan,serbah-serbih,serobeh,tersara-bara,cepat-cepat,lekas-lekas,terburu-buru,tergesa-gesa,keruntang-pungkang,kibang,kusut,lalu lalang,malang melintang,obrak-abrik,sara bara,slebor,tidak keruan,
acap,kerap,rajin,selalu,sering,suka bangat,cepat,lekas,segera,bangat,terbenam,kunjung,suka,
acap kali,acap-acap,acapkali,berkali-kali,berulang kali,berulang-ulang,kerap,kerapkali,kerap-kerap,sering,seringkali,
mengacapkan,memacu,membangatkan,memburu-buru,mempercepat,memperkerap,mempersering,mendahulukan,mengerapkan,menggesakan,mengulang-ulang,menyegerakan,menyeringkan,melajukan,melekaskan,
