kelengasan,humiditas,kelembapan,
lenggak-lenggok,melenggak-lenggok  celedang-celedok,megal-megol,meliangliuk,mengayak,
lenggang,ayunan,buaian limbai,buai,dingin,
melenggang,melimbai,mengayunkan,
berlenggang,ayun-temayun,berayun-ayun,berbuai-buai,bergoyang-goyang,mengayun,berayun,bergoyang,
"lenggok,",lenggok-lenggok   berlenggaklenggok,
lenggut,melenggut  mengangguk,menganggut,menyengguk,
lengkap,afdal,bulat,cukup,genap,integral,jangkap,kafi,kamil,komplet,penuh,pepak,sempurna,tamam,utuh paripurna,pleno besar,eksekutif,ensiklopedis,komprehensif,menyeluruh,absolut,ekstensif,ideal,mustaid,paripurna,pleno,selesai,tamat,utuh,
melengkapi,memenuhi,mencukupi,menggenapi,menokok,menutup,menyempurnakan,mendandani,
pelengkap,aksesori,bumbu,bunga,embel-embel,komplemen,suplemen,tambahan,perhiasan,penambah,
perlengkapan,abah-abah,aksesori,alat-alat,aparat,gawai,instrumen,logistik,organ,perabot,perangkat,peranti,perawis,perbekalan,perkakas,radas bekal,alat,peralatan,aparatus,barang,bekal,dandanan,perabotan,sarana,persiapan,
selengkap,semberap,seperanggu,seperangkat,sesetel,
selengkapnya,sepenuhnya,seutuhnya,
kelengkapan,kebulatan,kecukupan,kepadanan,keseluruhan,kesemestaan,keutuhan,totalitas,peralatan,kepadaan,
lengkeng,klengkeng,laici,leci,kelengkeng,
lengket,lekap,lekat,likat,rekat,akur,dekat,harmonis,mesra,rukun,
lengking,cengking,dengking,tengking,
melengking,cumengkling,keras,lantang,memeking,mendengking,meringking menciar-ciar,nyaring,berdengung,
lengkuas,gadamala,laja,laos,
lengkung,belok,bengkok,cawak,cekung,cembung,cengkung,ceruk,ikal,jeluk,kelok,keluk,kerul,kerut,kolong,ladung,lekuk,lekung,lengkok,lengkong,lengkuk,lentur,liku,mencong,mungkum,reluk,relung,siku,tikung,
lengkung langit,batas pemandangan,cakrawala,falak,horizon,kaki langit,tepi langit,ufuk,
melengkung,beliut,bengkok,bengkong,bengkung,berkelok,berkeluk,berkelung,cengkok,gondek,lengkok,melaur,meleding,meledung,melekuk,melelai,melendung,melendut,melengkuk,melentik bergeduyut,melentur,melepih,meliku,meluyut melentik,membelok,membengkok,membusur,mencekung,menceruk,menikung,menjengkit,menjonget,menjulai,merebeh bungkuk,pelong,riut belengkok,tunggik bergeduyut,belok,bungkuk,keluk,lekuk,melenturkan,rebeh,
melengkungkan,membekuk,membengkokkan,mengelukkan,membentuk,melekukkan,tekuk,
kelengkungan,kurvatur,
lengos,melengos  beralih muka,berpalis muka,memalingkan muka,membuang muka,melerok,memalis,mendilak,
lengser,geser,makzul,turun takhta,
melengserkan,memakzulkan,memberhentikan,memecat,mencopot,mendaulat,mendepak,menendang,meritul,pecat,menurunkan,
pelengseran,pemakzulan,pemberhentian,pemecatan,pencopotan,
lensa,kaca,kanta,reflektor,
lensa cembung,lensa konfeks,
lensa cekung,lensa konkaf,
lentera,corong,cublik,dian,dila,kandil,misbah,pelita lampion,tanglung lampu,ting,damar,lampion,pelita,tanglung,
lentik,bangkok,jengkit,lantik,
lenting,melenting  berbalik,melantun,memantul,membal,membidas,membingkas,memegas,mengambul,menganjal,mengantul,mengelanjar,mengendal,mengenyal,mengeper,mentul-mentul,menyembat melating,melejit,melesat,mencelat,pelesat,terlontar,terpelesat,fleksibel,
lentong,intonasi,lagu bicara,tekanan suara,
lentuk,lemas,lentur,elastis,fleksibel,luwes,
melentuk,melentur,membentur,merebeh melontai,membandul,melenturkan,
lentur,bentuk,bias,elastis,fleksibel,keluk,laur,lekuk,lemas,lengkung,lentuk,lunak,luwes,patahan,plastis,ruai,bengkok,gemulai,kendur,kenyal,lembut tulang,
melentur,melandung,melengkung,melentuk,membengkok,membentur,merebeh,renggang melaur,kenyal,rebeh,
melenturkan,melandung,melengkung,melentuk,membengkok,membentur,mengelukkan mengendurkan,merebeh,merenggangkan,renggang melaur,mencorakkan,mengendurkan,
kelenturan,elastisitas,fleksibilitas,keluwesan,plastisitas,kendur,
lenyap,amblas,bablas,gaib,habis,hanyut,hapus,hilang,hirap,lelap,lenyak,lucut,maherat,menggelap,mengirap,menguap,meresap,musnah,penyap,perlina,pupus,silam,sirna,terbang,tercecer,nyenyak,binasa,kabur,kirap,lari,lesap,lipur,mati,singsing,tandas,tandus,tenggelam,
melenyapkan,melipur,melucutkan,membersihkan,membuang,membunuh,memunahkan,memusnahkan,memutus,mencabut,mencincang,mencoret,menembak,menewaskan,menghabisi  membantai,menghapuskan,menghilangkan,meniadakan,menjagal membedil,menumpur,menyirnakan,meredam,bantai,basmi,membinasakan,cabut,menggulung,menghabiskan,menghabisi,menghancurkan,menghilang,mengikis,melupakan,mematikan,memerangi,memupuskan,merusakkan,menandaskan,menenggelamkan,menumpas,
lepas,terlepas,independen,mandiri,merdeka,otonom,swapraja,swasembada,bebas,khali,lolos,luput,selamat,sunyi,terhindar,dedel,retas,sobek,bambang,banglas,jelas,lantang,lawah,lapang,leluasa,luas,lawas,ampunan,banting,bedol,berdikari,curai,dahulu,jatuh,los,lucut,
melepas,melepaskan,membebaskan,memberhentikan,membiarkan,memecat,memerdekakan,mengantarkan,mengeloskan,mengeluarkan,mengiringi,henti,pecat,umbar,
melepasi,membayar,memenuhi,mempreteli,mencopoti,mencukupi,menutup,merontokkan,
melepaskan,melampiaskan,melancarkan,melepas,meletakkan,melewatkan,meloloskan,melontarkan,meluputkan,meluruhkan,memapas,memasrahkan,membebaskan,memberikan,membiarkan,membuang,membuka,memenuhi,memerdekakan,memuaskan,menanggalkan,mencoplok,mencopot,mencurahkan,menerimakan,mengelakkan,mengeloskan,menggugurkan,menghilangkan,menghindarkan,mengikhlaskan,meninggalkan,menjatuhkan,menjauhkan,menolakkan,menyampaikan,menyerahkan,merelakan,merontokkan,membela,memberi,cabut,mencampakkan,mencepol,mencuraikan,mendepak,menghujani,mengecualikan,memperkenankan,melempari,melucuti,meluluskan,menaikkan,papas,memisahkan,mengesampingkan,ungkai,menguraikan,
pelepas,bekal,
lepasan,alumnus,jebolan,keluaran,lulusan,tamatan,bekas,eks,mantan,edisi,
terlepas,coplok,copot,jatuh,melekang,melukat,mengelupas,menggelekak,menggelopak,menggelup,potol,puput,rontok,tanggal,terbebas,terkecualikan,terkupas,tersungkap,terbedol,belus,tercabut,cepol,terdorong,terhindar,terkelupas,lepas,lolos,terlucut,luncur,luput,maksum,rabak,ruwat,selamat,sungkap,terungkai,
berlepas,bebas,berangkat,pergi,sekoci,
kelepasan,cuti,kebebasan,kehilangan,keleluasaan,kelonggaran,kemerdekaan,perlop,terlanjur,vakansi,
selepas,sesudah,setamat,setelah,sehabis,kemudian,sudah,
selepas-lepas,sebebas-bebas,sesuka-suka,sejauh-jauh,sekeras-keras,sekuat-kuat,
pelepasan,divestasi,pembebasan,pemberhentian,pemecatan,pemerdekaan,pencabutan,pencopotan,anus,burit,dubur,emansipasi,penghentian,pelampiasan,penaikan,pantat,pemenuhan,pemisahan,pemuasan,
lepra,abras,baras,buduk,kenohong,kusta,taiko,
lepuh,melepuh  abuh,betok,lecet,lonyok,melatur,melecur,
lerai,tercerai,terpisah,
meleraikan,memisahkan,menengahi,mengabar,mengantarai,merarai,meredakan,meredam,mendamaikan,menghancurkan,menghindari,meremukkan,
pelerai,pemisah,wasit,pengadil,perantara,pendamai,
peleraian,pemisahan,penengahan,pengantaraan,peradilan,perwasitan,pendamaian,perdamaian,
leret,banjar,baris,derek,deret,jajar,jejer,lajur,larik,ririt,saf,jalur,
berleret,berbanjar,berbaris,berderet,berjajar,berjejer,berlarik,
leretan,banjaran,barisan,deretan,jajaran,jejeran,rantaian,runtunan,runtutan,
meleretkan,membariskan,menderetkan,mengurutkan,menjajarkan,menjejerkan mengatur,menyusun,
les,bimbingan,kursus,latihan,pelajaran,tuntunan,tutorial,
lesak,ambles,terbenam,terhunjam,tertelan,
lesap,hilang,lenyap,lucut,habis,hapus,tenggelam,terbang,
melesap,melindang,melindap,memuar,menembusi,menerus,menyelinap,menyelundup,menyerap,menyilam,menyusup,meredup,merembes,meresap,memudar,selundup,
melesapkan,menghilangkan,meredam,menghapuskan,
pelesapan,absorpsi,penyerapan,perembesan,peresapan,
lesat,melating,melejit,melenting,meluncur,mencelat,pelesat,terlontar,
lestari,abadi,abid,baka,baki,daim,kekal,langgeng,selama-lamanya,sepanjang masa,tetap,awet,
melestarikan,melanggengkan,mengabadikan,mengekalkan,mengawetkan,kekal,
pelestarian,konservasi,pelanggengan,pengabadian,pengawetan,pengekalan,perlindungan,preservasi,pemeliharaan,
lesu,bokoh,bopok,dengkik,lamban,layu,lemau,lembam,lengai,lenyai,letoi,loyo,lunglai,rengsa,ruai,lelah,lemah,lemas,letih,penat,enggan,gulana,lembek,letak,malas,merana,rosot,tenat,
lesu darah,anemia,kurang darah,
kelesuan,indolensi,inersia,kelambanan,kelembaman,kemerosotan,kemunduran depresi,resesi,stagnasi,depresi,kemunduran,
lesung,lumpang,caung,cawak,ceduk,legok,kempung,lekuk,peyot,
lesung pipi,dekik,lesung pipit,sarang pipit,menyarangkan pipit,
lesus,angin pilin,puting beliung,tornado,
letak,lokasi,posisi,situs,tempat,keadaan,kedudukan,situasi,lemah,lemas,lesu,payah,lapar,
meletakkan,melepaskan,menaruh,menempatkan,menetapkan,meninggalkan,mewalakkan,mendudukkan,menghadiahkan,menekankan,walak,
terletak,terwalak,
peletak,pelopor,pendahulu,pendiri,
peletakan,penaruhan,penempatan,pembubuhan,
letih,capek,erak,lejar,lelah,payah,penat,gulana,lesu,mengah,tenat,
meletihkan,melelahkan,memayahkan,memenatkan,
keletihan,kecapekan,kelelahan,kepayahan,kepenatan,
letup,meledak,meletus,menyalak  bekerja,melalak,menyala,
letupan,ledakan,letusan,salakan,
letus,meledak,meledos,meleduk,meletup,jebluk,bercabul,bergejolak,berkobar,pecah,
meletuskan,meledakkan,memasang,
letusan,dentuman,detonasi,ledakan tembakan,ledakan,letupan,
leukemia,kanker darah,
leukore,jirian,keputihan,pektay,
level,golongan,kelas,lapisan,tangga,tataran,tingkatan,derajat,strata,tahap,tandingan,tatar,warna,
selevel,sejajar,separas,setara,setinggi sebabat,sebanding,sederajat,seimbang,sekelas,sepadan,setimbang,setimpal,setingkat,sebaya,cocok,sama,setinggi,
lever,hati,
leveransir,agen,depot,distributor,pemasok,penyalur,penyuplai,
lewah,berlebihan,berlimpah,melewah   melimpah,meluap,meruap,mewah,mubazir tautologis,surplus,tumpah,berlebih,
kelewahan,kemubaziran,tautologi kelebihan,ekses,kelebihan,
lewat,berselang,dengan,lalu,lampau,lebih,mati,melalui,melintasi,memakai,menggunakan,meninggal,per,sangat,sesudah,setelah,silam,terlalu,terlampau,tewas,tinggal,via,dahulu,habis,berjalan,kemudian,berlalu,over,
lewat batas,berlebihan,eksesif,ekstrem,melampau,
lewat waktu,kasep,kedaluwarsa,telat,terlambat,lembur,
